USERID,COMP_Uber,COMP_Lyft,ATTENTION,WKYEARS,COVID,STARTTIME.YN,STARTTIME,STOPTIME.YN,STOPTIME,WKHOURS.YN,WKHOURS,TGINCOME.YN,TGINCOME,WEEK.TRIPS,WEEK.TRIPS.RJ,RESP.1,RESP.1.SURGE,RESP.1.WTTIME,RESP.1.RLTIME,RESP.1.LTRIP,RESP.1.PR,RESP.1.SHARED,RESP.2,RESP.2.SURGE,RESP.2.WTTIME,RESP.2.RLTIME,RESP.2.LTRIP,RESP.2.PR,RESP.2.SHARED,RESP.3,RESP.3.SURGE,RESP.3.WTTIME,RESP.3.RLTIME,RESP.3.LTRIP,RESP.3.PR,RESP.3.SHARED,RESP.4,RESP.4.SURGE,RESP.4.WTTIME,RESP.4.RLTIME,RESP.4.LTRIP,RESP.4.PR,RESP.4.SHARED,RESP.5,RESP.5.SURGE,RESP.5.WTTIME,RESP.5.RLTIME,RESP.5.LTRIP,RESP.5.PR,RESP.5.SHARED,RESP.6,RESP.6.SURGE,RESP.6.WTTIME,RESP.6.RLTIME,RESP.6.LTRIP,RESP.6.PR,RESP.6.SHARED,WT.1,RL.1,WTRL.1.INCOME,WTRL.1.HOURS,WTRL.1.SURGE.N3,WTRL.1.WTTIME.N3,WTRL.1.SURGE.N1,WTRL.1.SURGE.N2,WTRL.1.SURGE.N4,WTRL.1.SURGE.N5,WTRL.1.WTTIME.N1,WTRL.1.WTTIME.N2,WTRL.1.WTTIME.N4,WTRL.1.WTTIME.N5,WTRL.1.RTTIME.N1,WTRL.1.RTTIME.N2,WTRL.1.RTTIME.N4,WTRL.1.RTTIME.N5,WT.2,RL.2,WTRL.2.INCOME,WTRL.2.HOURS,WTRL.2.SURGE.N3,WTRL.2.WTTIME.N3,WTRL.2.SURGE.N1,WTRL.2.SURGE.N2,WTRL.2.SURGE.N4,WTRL.2.SURGE.N5,WTRL.2.WTTIME.N1,WTRL.2.WTTIME.N2,WTRL.2.WTTIME.N4,WTRL.2.WTTIME.N5,WTRL.2.RTTIME.N1,WTRL.2.RTTIME.N2,WTRL.2.RTTIME.N4,WTRL.2.RTTIME.N5,WT.3,RL.3,WTRL.3.INCOME,WTRL.3.HOURS,WTRL.3.SURGE.N3,WTRL.3.WTTIME.N3,WTRL.3.SURGE.N1,WTRL.3.SURGE.N2,WTRL.3.SURGE.N4,WTRL.3.SURGE.N5,WTRL.3.WTTIME.N1,WTRL.3.WTTIME.N2,WTRL.3.WTTIME.N4,WTRL.3.WTTIME.N5,WTRL.3.RTTIME.N1,WTRL.3.RTTIME.N2,WTRL.3.RTTIME.N4,WTRL.3.RTTIME.N5,WT.4,RL.4,WTRL.4.INCOME,WTRL.4.HOURS,WTRL.4.SURGE.N3,WTRL.4.WTTIME.N3,WTRL.4.SURGE.N1,WTRL.4.SURGE.N2,WTRL.4.SURGE.N4,WTRL.4.SURGE.N5,WTRL.4.WTTIME.N1,WTRL.4.WTTIME.N2,WTRL.4.WTTIME.N4,WTRL.4.WTTIME.N5,WTRL.4.RTTIME.N1,WTRL.4.RTTIME.N2,WTRL.4.RTTIME.N4,WTRL.4.RTTIME.N5,WT.5,RL.5,WTRL.5.INCOME,WTRL.5.HOURS,WTRL.5.SURGE.N3,WTRL.5.WTTIME.N3,WTRL.5.SURGE.N1,WTRL.5.SURGE.N2,WTRL.5.SURGE.N4,WTRL.5.SURGE.N5,WTRL.5.WTTIME.N1,WTRL.5.WTTIME.N2,WTRL.5.WTTIME.N4,WTRL.5.WTTIME.N5,WTRL.5.RTTIME.N1,WTRL.5.RTTIME.N2,WTRL.5.RTTIME.N4,WTRL.5.RTTIME.N5,WT.6,RL.6,WTRL.6.INCOME,WTRL.6.HOURS,WTRL.6.SURGE.N3,WTRL.6.WTTIME.N3,WTRL.6.SURGE.N1,WTRL.6.SURGE.N2,WTRL.6.SURGE.N4,WTRL.6.SURGE.N5,WTRL.6.WTTIME.N1,WTRL.6.WTTIME.N2,WTRL.6.WTTIME.N4,WTRL.6.WTTIME.N5,WTRL.6.RTTIME.N1,WTRL.6.RTTIME.N2,WTRL.6.RTTIME.N4,WTRL.6.RTTIME.N5,AGE,GENDER,HISPANIC,RACE,IMMG,EDU,STDT,EMPL,EMPL.ANOTHER,ZIPCODE,HHSIZE,CHILD,HHINCOME,INDVINCOME,HEALTH,SOURCE,COMMENTS
mGQGXlFWprYXDMgElP8V,1,,N4,4,0,0,0,0,0,0,,1,100,0,0,1,8,0,20,1,4.3,0,1,0,24,20,1,4.5,0,1,0,30,8,0,4.5,0,1,12,0,12,0,4.5,0,1,8,0,12,0,4.9,0,1,0,8,8,0,4.1,1,1,3,130,8,8,0,8,0,0,0,0,16,0,8,4,4,8,30,1,5,100,8,0,30,12,16,0,12,0,0,16,0,12,16,8,8,1,5,40,3.2,0,0,0,12,0,16,16,0,24,0,30,12,16,8,0,,70,3.2,0,30,0,16,0,0,0,0,24,8,30,8,30,12,1,3,40,10.4,12,0,0,16,12,4,30,0,0,0,12,8,12,16,0,,70,8,0,8,0,0,4,0,0,8,0,30,4,8,4,16,27,0,0,1,0,3,0,3,,98422,2,0,7,1,1,2,None
OwbOdFUO4JxmJq5LS7O7,,1,N4,4,2,0,0,0,0,1,2,0,,3,0,1,12,0,16,1,4.1,0,1,4,0,20,1,4.1,1,1,8,0,16,0,4.1,1,1,0,8,4,0,4.3,1,1,12,0,20,0,4.3,1,0,16,0,16,1,4.9,1,1,4,70,0.8,8,0,4,8,16,0,0,0,0,8,12,4,4,12,1,2,160,1.4,12,0,0,12,0,0,30,0,24,24,12,8,4,8,1,5,160,2.6,8,0,0,4,0,16,0,0,8,0,8,16,8,4,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,52,0,0,1,0,5,0,2,,98382,3,0,7,7,1,2,
9Uwmv3Th7dbRerFrpnAB,1,,N4,4,1,1,6,1,14,1,5.5,1,100,45,0,1,0,0,8,1,4.7,0,1,8,0,20,0,4.1,1,1,8,0,12,1,4.5,1,1,0,16,8,0,4.5,1,1,0,8,16,1,4.9,1,1,16,0,16,0,4.9,1,1,3,40,5,0,30,0,0,4,0,24,8,0,8,8,16,16,12,0,,160,2,0,8,0,4,0,0,16,0,24,16,16,12,8,8,0,,160,5,8,0,0,16,16,0,16,0,0,8,30,12,4,16,1,3,100,3.5,4,0,0,12,8,0,0,0,0,16,12,4,8,12,1,3,40,3.5,0,24,0,0,0,0,8,30,0,24,12,8,30,12,1,3,70,3.5,8,0,12,8,0,0,0,0,0,24,8,16,8,4,77,0,1,1,0,3,0,3,,98312,2,0,7,6,1,2,
2ZJBOJgjfjavtKP4CxKS,1,1,N4,4,1,1,11.02,1,17.03,0,,0,,40,4,1,16,0,16,1,4.3,0,1,0,24,8,0,4.5,0,1,12,0,8,1,4.9,0,1,16,0,12,0,4.9,0,1,0,30,4,1,4.5,1,1,0,8,8,0,4.9,1,0,,70,12.8,0,0,4,0,0,0,0,8,16,30,4,12,4,30,0,,70,12.8,8,0,12,0,0,8,0,0,16,0,4,30,16,4,0,,130,10.4,0,16,0,0,16,0,16,16,0,8,4,30,8,30,0,,160,12.8,16,0,8,0,0,16,0,8,0,0,4,16,12,4,0,,100,10.4,0,30,8,8,0,4,0,0,30,0,4,16,4,16,0,,100,8,0,16,8,0,4,8,0,30,0,0,12,30,8,8,70,0,0,1,1,3,0,3,,98201,2,0,7,6,2,2,Last few questions did not account for limits on driving hours by law.
b8wH13pe65fUS8FQ8tnh,1,,N4,4,1,1,10,0,0,0,,1,100,50,20,1,0,24,8,1,4.1,0,1,8,0,12,1,4.3,0,1,4,0,8,0,4.3,0,1,0,0,8,0,4.3,0,0,0,24,16,0,4.3,0,0,4,0,4,0,4.7,1,0,,130,3.2,0,0,4,4,0,12,0,0,0,0,30,8,8,8,1,1,40,12.8,12,0,16,0,0,0,0,8,16,16,4,30,30,16,0,,40,10.4,0,16,4,0,0,12,0,24,16,0,4,12,16,12,0,,100,8,16,0,12,4,12,0,0,0,0,0,8,8,12,4,0,,130,12.8,0,8,12,0,0,16,0,30,16,0,4,8,30,8,0,,100,10.4,0,8,0,0,8,12,24,24,0,0,30,12,30,16,38,1,0,1,0,4,0,3,,98374,5,3,4,4,2,2,
wruXW22CmD4Dmd2lYhvT,,1,N4,3,0,0,0,0,0,0,,0,,0,0,1,0,30,20,1,4.1,0,1,12,0,8,1,4.7,0,1,0,30,8,1,4.1,1,1,12,0,4,1,4.3,1,1,4,0,4,1,4.7,1,1,4,0,8,0,4.7,1,0,,70,10.4,0,24,0,0,0,0,0,30,16,0,8,16,4,4,0,,100,10.4,8,0,0,0,0,4,16,24,0,0,16,4,12,30,0,,130,8,4,0,0,8,0,12,30,0,8,0,12,8,30,8,1,3,160,8,0,0,0,16,0,0,24,0,30,16,16,12,8,12,0,,70,12.8,0,24,4,8,0,0,0,0,8,8,4,8,30,16,1,4,130,3.2,0,24,0,12,4,16,16,0,0,0,12,30,8,30,45,0,0,4,0,5,0,2,,98004,8,6,6,6,2,2,
Hz2z7XHdCUaoNijsIFnn,1,1,N4,2,1,1,7.05,1,0,1,10,1,250,143,8,1,0,8,12,0,4.1,0,1,0,24,4,1,4.5,0,1,0,0,16,1,4.9,0,1,0,24,8,1,4.7,1,1,0,24,16,1,4.7,1,1,0,8,8,0,4.7,1,0,,175,16,0,8,0,0,8,0,16,30,0,8,16,30,8,30,1,3,325,4,8,0,0,0,8,8,24,8,0,0,30,30,4,30,1,4,250,7,0,24,0,12,16,0,0,0,0,30,12,8,8,30,1,2,175,4,0,0,0,16,12,16,8,0,0,0,4,8,30,12,1,4,400,4,0,0,8,0,4,0,0,24,0,8,30,30,4,4,1,3,400,7,16,0,0,0,16,8,24,8,0,0,4,12,30,12,29,0,0,1,0,5,0,3,,98056,4,1,8,7,1,2,I don’t drive in Seattle.
9emhHPIofpX8irHthPau,,1,N4,4,2,0,0,0,0,0,,0,,0,0,1,0,30,12,0,4.1,0,1,0,24,12,1,4.3,0,1,0,0,16,1,4.3,0,1,0,8,16,0,4.9,0,1,0,24,4,1,4.9,1,1,16,0,20,0,4.9,1,0,,160,12.8,0,8,0,16,12,0,0,0,0,30,8,4,4,16,1,1,130,3.2,0,16,12,0,0,0,0,16,0,0,12,8,8,16,0,,160,12.8,0,0,0,0,0,0,8,24,16,30,30,30,8,30,1,3,160,12.8,16,0,8,0,0,16,0,8,0,0,4,16,12,4,1,1,100,10.4,0,30,8,8,0,4,0,0,30,0,4,16,4,16,1,5,100,8,0,16,8,0,4,8,0,30,0,0,12,30,8,8,49,0,0,2,1,5,0,1,,98203,5,3,9,7,1,2,
pzcY1EACoMhE76EEyMJP,,1,N4,4,2,1,20,1,4,1,7,1,200,142,4,1,0,30,12,0,4.1,0,1,0,24,12,1,4.3,0,1,0,0,16,1,4.3,0,1,0,8,16,0,4.9,0,1,0,24,4,1,4.9,1,1,16,0,20,0,4.9,1,1,2,320,9.6,0,8,0,16,12,0,0,0,0,30,8,4,4,16,1,1,260,2.4,0,16,12,0,0,0,0,16,0,0,12,8,8,16,0,,320,9.6,0,0,0,0,0,0,8,24,16,30,30,30,8,30,1,3,320,9.6,16,0,8,0,0,16,0,8,0,0,4,16,12,4,1,1,200,7.8,0,30,8,8,0,4,0,0,30,0,4,16,4,16,1,5,200,6,0,16,8,0,4,8,0,30,0,0,12,30,8,8,30,0,0,1,0,4,0,3,,98034,1,0,7,7,2,2,"Lyft doesn't show us estimated wait times, that would be nice. We also don't see a full surge map: we only get to see one ""personal power zone"" at a time - the one closest to us. We have to guess if it makes more sense to take the PPZ, or head Downtown because we think it's busy. I'm pretty sure Lyft does this on purpose to ""cool"" drivers and spread us out."
9MBseZVTlpFtPx7LrcQV,1,,N4,4,2,1,17.25,1,0,1,6,1,120,0,0,1,16,0,8,1,4.1,0,1,0,24,8,1,4.7,0,1,0,8,20,1,4.7,0,1,0,24,8,1,4.3,1,1,0,30,20,0,4.5,1,1,8,0,20,1,4.7,1,0,,0,2.4,0,30,8,0,0,0,0,16,8,24,4,30,12,4,0,,0,2.4,4,0,8,0,0,0,0,24,16,8,30,12,12,4,0,,0,7.8,0,8,0,4,0,0,24,0,16,0,16,12,16,16,0,,0,6,0,0,0,16,0,0,24,0,30,16,16,12,8,12,0,,0,9.6,0,24,4,8,0,0,0,0,8,8,4,8,30,16,0,,0,2.4,0,24,0,12,4,16,16,0,0,0,12,30,8,30,56,0,0,1,1,3,0,3,,98087,1,0,6,6,1,2,
