USERID,COMP_Uber,COMP_Lyft,ATTENTION,WKYEARS,COVID,STARTTIME.YN,STARTTIME,STOPTIME.YN,STOPTIME,WKHOURS.YN,WKHOURS,TGINCOME.YN,TGINCOME,WEEK.TRIPS,WEEK.TRIPS.RJ,RESP.1,RESP.1.SURGE,RESP.1.WTTIME,RESP.1.RLTIME,RESP.1.LTRIP,RESP.1.PR,RESP.1.SHARED,RESP.2,RESP.2.SURGE,RESP.2.WTTIME,RESP.2.RLTIME,RESP.2.LTRIP,RESP.2.PR,RESP.2.SHARED,RESP.3,RESP.3.SURGE,RESP.3.WTTIME,RESP.3.RLTIME,RESP.3.LTRIP,RESP.3.PR,RESP.3.SHARED,RESP.4,RESP.4.SURGE,RESP.4.WTTIME,RESP.4.RLTIME,RESP.4.LTRIP,RESP.4.PR,RESP.4.SHARED,RESP.5,RESP.5.SURGE,RESP.5.WTTIME,RESP.5.RLTIME,RESP.5.LTRIP,RESP.5.PR,RESP.5.SHARED,RESP.6,RESP.6.SURGE,RESP.6.WTTIME,RESP.6.RLTIME,RESP.6.LTRIP,RESP.6.PR,RESP.6.SHARED,WT.1,RL.1,WTRL.1.INCOME,WTRL.1.HOURS,WTRL.1.SURGE.N3,WTRL.1.WTTIME.N3,WTRL.1.SURGE.N1,WTRL.1.SURGE.N2,WTRL.1.SURGE.N4,WTRL.1.SURGE.N5,WTRL.1.WTTIME.N1,WTRL.1.WTTIME.N2,WTRL.1.WTTIME.N4,WTRL.1.WTTIME.N5,WTRL.1.RTTIME.N1,WTRL.1.RTTIME.N2,WTRL.1.RTTIME.N4,WTRL.1.RTTIME.N5,WT.2,RL.2,WTRL.2.INCOME,WTRL.2.HOURS,WTRL.2.SURGE.N3,WTRL.2.WTTIME.N3,WTRL.2.SURGE.N1,WTRL.2.SURGE.N2,WTRL.2.SURGE.N4,WTRL.2.SURGE.N5,WTRL.2.WTTIME.N1,WTRL.2.WTTIME.N2,WTRL.2.WTTIME.N4,WTRL.2.WTTIME.N5,WTRL.2.RTTIME.N1,WTRL.2.RTTIME.N2,WTRL.2.RTTIME.N4,WTRL.2.RTTIME.N5,WT.3,RL.3,WTRL.3.INCOME,WTRL.3.HOURS,WTRL.3.SURGE.N3,WTRL.3.WTTIME.N3,WTRL.3.SURGE.N1,WTRL.3.SURGE.N2,WTRL.3.SURGE.N4,WTRL.3.SURGE.N5,WTRL.3.WTTIME.N1,WTRL.3.WTTIME.N2,WTRL.3.WTTIME.N4,WTRL.3.WTTIME.N5,WTRL.3.RTTIME.N1,WTRL.3.RTTIME.N2,WTRL.3.RTTIME.N4,WTRL.3.RTTIME.N5,WT.4,RL.4,WTRL.4.INCOME,WTRL.4.HOURS,WTRL.4.SURGE.N3,WTRL.4.WTTIME.N3,WTRL.4.SURGE.N1,WTRL.4.SURGE.N2,WTRL.4.SURGE.N4,WTRL.4.SURGE.N5,WTRL.4.WTTIME.N1,WTRL.4.WTTIME.N2,WTRL.4.WTTIME.N4,WTRL.4.WTTIME.N5,WTRL.4.RTTIME.N1,WTRL.4.RTTIME.N2,WTRL.4.RTTIME.N4,WTRL.4.RTTIME.N5,WT.5,RL.5,WTRL.5.INCOME,WTRL.5.HOURS,WTRL.5.SURGE.N3,WTRL.5.WTTIME.N3,WTRL.5.SURGE.N1,WTRL.5.SURGE.N2,WTRL.5.SURGE.N4,WTRL.5.SURGE.N5,WTRL.5.WTTIME.N1,WTRL.5.WTTIME.N2,WTRL.5.WTTIME.N4,WTRL.5.WTTIME.N5,WTRL.5.RTTIME.N1,WTRL.5.RTTIME.N2,WTRL.5.RTTIME.N4,WTRL.5.RTTIME.N5,WT.6,RL.6,WTRL.6.INCOME,WTRL.6.HOURS,WTRL.6.SURGE.N3,WTRL.6.WTTIME.N3,WTRL.6.SURGE.N1,WTRL.6.SURGE.N2,WTRL.6.SURGE.N4,WTRL.6.SURGE.N5,WTRL.6.WTTIME.N1,WTRL.6.WTTIME.N2,WTRL.6.WTTIME.N4,WTRL.6.WTTIME.N5,WTRL.6.RTTIME.N1,WTRL.6.RTTIME.N2,WTRL.6.RTTIME.N4,WTRL.6.RTTIME.N5,AGE,GENDER,HISPANIC,RACE,IMMG,EDU,STDT,EMPL,EMPL.ANOTHER,ZIPCODE,HHSIZE,CHILD,HHINCOME,INDVINCOME,HEALTH,SOURCE,COMMENTS
RGLVyHXl1vqtsOPZYxvG,1,,N4,4,1,0,0,0,0,1,10,0,,50,0,1,12,0,4,0,4.3,0,1,12,0,20,0,4.5,0,1,12,0,8,0,4.9,0,1,0,30,8,1,4.3,1,1,0,24,16,0,4.3,1,1,16,0,20,0,4.5,1,0,,40,16,8,0,8,12,12,4,0,0,0,0,16,4,12,30,1,5,40,4,0,30,4,0,12,12,0,8,0,0,16,30,30,12,1,4,70,10,0,0,4,0,16,0,0,8,0,24,16,4,8,16,0,,40,16,0,30,0,16,0,0,0,0,0,16,16,16,12,4,1,3,130,7,8,0,0,0,0,0,0,16,16,8,8,16,12,30,0,,130,13,16,0,12,0,0,4,0,24,8,0,12,4,12,30,54,0,0,2,1,2,0,3,,98445,2,0,7,5,3,3,
gWrzmrRmu07Yzhvh0qLZ,1,,N4,3,1,0,0,0,0,1,5,0,,23,0,1,0,8,12,1,4.3,0,1,8,0,8,1,4.7,0,0,0,0,12,0,4.9,0,1,0,24,12,1,4.5,1,1,0,8,8,0,4.7,1,1,16,0,4,0,4.9,1,0,,130,5,0,0,0,4,4,0,16,0,0,8,16,30,4,4,0,,40,6.5,0,30,0,0,12,4,24,8,0,0,4,16,16,12,1,2,40,2,0,16,8,12,0,0,0,0,16,30,30,12,30,30,0,,70,6.5,0,16,8,0,0,0,0,16,8,30,4,8,16,8,0,,130,8,0,0,0,4,8,0,30,0,0,0,4,8,12,8,1,5,40,2,12,0,0,0,8,16,30,0,0,0,12,16,4,4,25,0,0,6,1,4,0,3,,98122,4,0,6,2,2,3,No
jYIZ26gIFrFtiZvYwsQs,1,1,N4,4,1,1,10,1,19,1,7,1,300,40,5,1,4,0,12,1,4.1,0,1,12,0,20,1,4.3,0,1,4,0,16,0,4.3,0,1,0,24,4,0,4.9,0,1,12,0,8,1,4.9,1,1,0,16,4,0,4.9,1,1,1,300,9.1,0,16,16,0,4,0,0,24,0,0,4,8,8,30,1,3,480,4.9,8,0,8,0,8,0,0,16,0,8,4,30,12,4,1,2,390,9.1,4,0,4,12,0,0,0,0,30,30,16,8,8,30,1,5,300,7,8,0,0,0,0,16,16,30,30,0,30,4,30,4,1,1,300,2.8,0,30,12,12,0,0,0,0,24,24,8,12,16,12,0,,120,11.2,0,0,8,0,0,0,0,30,8,16,12,12,16,4,32,0,0,2,1,4,0,2,,98118,1,0,7,7,1,3,
5RdCKrVL62KV3rOi790P,1,1,N4,4,1,0,0,0,0,0,,1,200,,,1,0,24,12,1,4.1,0,1,4,0,16,1,4.1,0,1,4,0,8,0,4.1,0,1,16,0,4,0,4.7,0,1,0,24,20,0,4.9,0,1,0,30,8,0,4.3,1,1,3,260,12.8,16,0,8,16,0,0,0,0,0,8,4,30,8,8,0,,260,12.8,0,16,0,12,0,0,24,0,8,24,4,12,8,30,0,,140,12.8,12,0,0,0,0,0,30,24,16,0,8,8,16,30,0,,320,10.4,0,24,0,0,16,0,8,16,0,8,12,12,8,4,1,5,260,3.2,0,8,0,0,0,16,24,8,30,0,4,8,4,12,1,3,140,10.4,12,0,12,12,8,0,0,0,0,30,8,16,30,16,39,2,2,7,1,5,0,3,,98121,0,0,,,1,3,
oVf7EYoGg0d95nYwS9GY,1,1,N4,4,1,1,4,1,14.5,1,10,0,,20,0,1,0,0,16,0,4.1,0,1,8,0,16,0,4.3,0,1,0,16,12,1,4.9,0,1,0,16,16,0,4.3,1,0,0,8,20,0,4.3,1,1,8,0,4,1,4.5,1,1,1,100,16,0,0,12,8,0,0,0,0,24,30,8,12,16,8,1,4,160,13,0,30,0,0,12,0,0,30,0,0,12,30,12,8,0,,40,10,8,0,12,12,0,0,0,0,30,24,8,12,4,8,0,,70,13,16,0,16,0,0,8,0,0,8,0,4,30,4,12,0,,40,4,0,8,8,4,0,12,0,0,16,0,12,12,8,30,0,,70,10,4,0,0,0,16,16,0,8,0,0,30,16,8,16,38,0,0,2,1,2,0,3,,98188,1,0,5,5,1,3,
SobnEfvKFpuDcwyabWcP,1,1,N4,3,0,0,0,0,0,1,8,1,200,40,0,1,0,30,8,0,4.1,0,1,0,0,8,1,4.3,0,1,4,0,16,1,4.7,0,1,0,24,12,1,4.9,0,1,16,0,12,0,4.1,1,1,12,0,16,1,4.7,1,1,3,320,3.2,0,30,8,0,0,0,0,16,8,24,4,30,12,4,0,,260,3.2,4,0,8,0,0,0,0,24,16,8,30,12,12,4,1,3,80,10.4,0,8,0,4,0,0,24,0,16,0,16,12,16,16,0,,200,10.4,12,0,0,4,0,0,24,0,0,0,30,8,16,8,1,2,200,3.2,0,8,0,12,0,0,0,0,8,8,16,12,4,30,0,,260,10.4,0,24,8,0,0,0,0,30,30,16,12,4,12,16,39,0,0,2,1,2,0,3,,98198,5,3,7,6,1,3,
c8FrM9loPZhF7QDmKXIG,,1,N4,4,1,0,0,0,0,1,8,1,150,60,1,1,12,0,12,1,4.3,0,1,12,0,20,1,4.3,0,1,8,0,8,0,4.7,0,1,0,0,12,1,4.9,0,1,8,0,8,0,4.1,1,1,0,8,20,0,4.7,1,0,,195,12.8,12,0,16,4,0,12,0,0,0,0,8,8,4,8,1,4,150,5.6,0,16,0,0,16,8,24,8,0,0,12,8,12,16,1,2,60,5.6,0,0,0,8,12,0,0,0,0,8,8,8,30,4,1,5,105,5.6,0,8,0,0,8,16,24,8,0,0,30,16,4,8,0,,60,8,4,0,0,12,0,8,0,0,8,0,16,12,8,4,1,3,240,8,0,8,0,0,4,0,24,24,0,30,16,8,12,30,40,0,0,2,1,2,0,2,,98188,1,0,8,8,1,3,
mtrGZ1Qld4vgRApllFjn,1,1,N4,4,1,1,14,0,0,1,10,1,350,120,20,1,0,24,20,0,4.1,0,1,0,16,20,0,4.3,0,1,0,0,8,0,4.5,0,1,0,0,12,0,4.5,0,1,16,0,16,1,4.5,1,1,0,0,20,1,4.5,1,1,1,245,4,12,0,0,0,0,16,30,24,0,0,16,30,8,4,1,2,455,7,0,24,0,4,0,0,0,0,30,30,12,4,8,30,1,4,455,7,0,0,8,0,4,0,0,24,0,24,30,8,4,16,0,,560,13,12,0,0,8,8,8,24,0,0,0,12,8,12,16,0,,245,16,0,16,0,0,8,16,16,16,0,0,12,30,12,12,1,3,350,4,16,0,12,0,8,0,0,24,0,8,30,4,12,16,49,1,0,1,0,5,0,3,,98012,1,0,7,7,2,3,
0IdW3UfFNtDAz8NecMla,1,1,N4,3,0,1,6,0,0,1,10,1,300,45,6,1,0,24,20,0,4.1,0,1,0,16,20,0,4.3,0,0,0,0,8,0,4.5,0,1,0,0,12,0,4.5,0,1,16,0,16,1,4.5,1,1,0,0,20,1,4.5,1,1,3,210,4,12,0,0,0,0,16,30,24,0,0,16,30,8,4,0,,390,7,0,24,0,4,0,0,0,0,30,30,12,4,8,30,0,,390,7,0,0,8,0,4,0,0,24,0,24,30,8,4,16,0,,480,13,12,0,0,8,8,8,24,0,0,0,12,8,12,16,1,3,210,16,0,16,0,0,8,16,16,16,0,0,12,30,12,12,0,,300,4,16,0,12,0,8,0,0,24,0,8,30,4,12,16,29,0,0,2,1,5,0,3,,98043,1,0,7,7,1,3,
7COxGRx17zNxlCBDFDDb,1,1,N4,4,1,1,6,1,18,1,12,1,250,105,1,1,0,16,20,0,4.5,0,0,0,0,20,0,4.7,0,1,8,0,8,0,4.9,0,0,16,0,12,1,4.1,1,1,4,0,16,1,4.1,1,0,0,24,20,0,4.7,1,1,2,100,15.6,0,24,0,12,0,0,8,0,8,30,12,16,30,12,1,5,400,8.4,4,0,0,8,0,12,30,0,8,0,4,30,4,4,1,3,250,12,12,0,12,8,0,0,0,0,16,24,12,12,30,30,1,1,100,8.4,4,0,16,0,8,4,0,24,0,0,12,16,16,30,1,3,250,8.4,12,0,8,12,12,8,0,0,0,0,8,30,4,12,0,,250,19.2,12,0,8,16,4,4,0,0,0,0,30,8,12,30,70,0,0,2,1,2,0,3,,98108,10,0,7,9,1,3,
OvWIBcvF251p9CTOyYdD,,1,N4,4,1,1,7,1,19,1,12,1,250,101,10,1,0,24,4,1,4.1,0,1,0,0,4,1,4.3,1,1,16,0,20,0,4.3,1,1,8,0,20,1,4.5,1,1,0,0,4,0,4.5,1,1,0,16,12,0,4.5,1,0,,400,12,0,30,8,0,16,0,0,16,0,8,8,8,16,8,0,,175,12,16,0,12,12,0,0,0,0,30,30,12,8,8,4,0,,175,12,8,0,12,0,0,0,0,8,30,0,4,4,8,30,0,,325,15.6,12,0,16,0,4,0,0,30,0,30,30,16,16,30,0,,400,19.2,0,24,8,16,0,0,0,0,16,30,12,12,8,30,1,1,175,4.8,0,8,16,0,4,8,0,0,0,0,8,4,16,12,45,0,0,4,1,3,0,3,,98489,2,0,7,7,2,3,
JmOMxIKGkD1wspwPn7nf,1,1,N4,4,1,1,8,1,16,1,9,0,,46,7,1,0,30,16,0,4.1,0,1,4,0,8,1,4.9,0,1,0,0,16,0,4.3,1,1,16,0,20,1,4.5,1,1,0,30,12,0,4.5,1,1,12,0,20,1,4.7,1,0,,100,9,0,8,8,0,0,0,0,0,24,0,12,30,8,4,0,,70,11.7,4,0,0,8,4,0,30,0,0,8,8,4,16,30,1,2,100,3.6,0,0,0,12,0,0,24,0,0,0,12,16,4,16,0,,40,9,12,0,12,0,0,0,0,16,30,24,12,16,4,4,1,3,100,6.3,16,0,0,0,4,12,30,30,0,0,8,30,12,16,0,,40,9,16,0,8,0,0,0,0,16,0,0,12,30,16,12,65,0,0,2,1,2,0,3,,98188,8,5,4,4,2,3,
5IIrX3KVlt572IXIqXQS,,1,N4,0,0,0,0,0,0,0,,0,,16,2,1,8,0,8,1,4.9,0,1,0,24,4,1,4.1,1,1,8,0,8,1,4.1,1,0,0,0,20,0,4.1,1,1,12,0,8,0,4.3,1,0,0,8,20,0,4.5,1,1,2,100,12.8,4,0,0,8,8,0,0,0,0,16,12,8,30,8,1,5,100,8,0,24,12,16,0,0,0,0,30,0,30,30,16,8,1,2,130,5.6,0,8,12,16,0,16,0,0,30,0,8,8,16,30,1,3,40,8,0,0,12,0,0,0,0,30,16,0,30,12,4,12,1,5,160,8,0,16,0,4,12,12,0,0,0,0,4,8,16,12,1,3,130,10.4,8,0,4,8,0,16,0,0,8,0,4,12,16,16,36,1,0,2,1,2,0,3,,98188,4,2,2,2,1,3,
8CD8PWdyAnjok8A6lQxd,,1,N4,1,1,1,6,1,12,1,9,0,,65,0,1,8,0,8,1,4.9,0,1,0,24,4,1,4.1,1,1,8,0,8,1,4.1,1,0,0,0,20,0,4.1,1,1,12,0,8,0,4.3,1,0,0,8,20,0,4.5,1,0,,100,14.4,4,0,0,8,8,0,0,0,0,16,12,8,30,8,1,3,100,9,0,24,12,16,0,0,0,0,30,0,30,30,16,8,1,3,130,6.3,0,8,12,16,0,16,0,0,30,0,8,8,16,30,1,3,40,9,0,0,12,0,0,0,0,30,16,0,30,12,4,12,1,4,160,9,0,16,0,4,12,12,0,0,0,0,4,8,16,12,1,3,130,11.7,8,0,4,8,0,16,0,0,8,0,4,12,16,16,39,0,0,2,1,2,0,3,,98057,3,1,6,6,1,3,
dXtzdUoikkuLfnBk0tg9,1,1,N4,2,1,0,0,0,0,1,8,1,200,20,0,1,16,0,12,1,4.1,0,1,8,0,8,0,4.5,0,1,0,0,4,0,4.9,0,1,12,0,20,0,4.9,0,1,0,16,20,0,4.1,1,1,4,0,4,0,4.3,1,1,4,260,10.4,0,0,0,0,16,12,16,16,0,0,12,4,8,8,0,,260,8,0,24,12,0,0,0,0,8,0,8,12,8,8,4,0,,200,10.4,16,0,0,12,12,0,8,0,0,16,12,12,8,4,0,,320,12.8,12,0,0,16,0,0,0,0,24,16,30,8,4,16,0,,200,10.4,4,0,0,4,16,0,8,0,0,0,12,8,4,4,1,5,80,5.6,0,30,0,0,0,12,24,24,24,0,12,4,30,4,45,0,0,2,1,4,0,3,,98188,3,1,9,7,1,3,
uyao8Wne7Acs7ftVJehX,1,,N4,4,0,1,4,1,13,1,8,1,250,70,2,1,8,0,16,1,4.3,0,1,0,30,8,0,4.3,0,1,0,8,4,0,4.7,0,1,16,0,4,0,4.5,1,1,8,0,20,1,4.7,1,1,0,30,12,0,4.7,1,1,3,325,5.6,16,0,0,16,0,0,8,0,0,0,16,8,8,4,0,,175,8,0,30,0,8,4,0,30,0,0,0,16,12,30,8,1,3,100,5.6,0,16,16,8,12,12,0,0,0,0,16,8,4,8,1,3,175,3.2,0,16,0,0,8,12,16,0,0,0,4,30,4,12,1,1,325,5.6,4,0,16,16,16,0,0,0,0,16,8,30,12,8,1,3,325,8,12,0,16,0,0,0,0,8,24,16,30,30,30,4,31,0,0,2,1,3,0,3,,98118,2,0,7,6,1,3,No
1LogZJx6FiverNg9V18T,,1,N4,4,1,1,9.33,1,21.33,1,12,0,,53,5,1,8,0,16,1,4.3,0,1,0,30,8,0,4.3,0,1,0,8,4,0,4.7,0,1,16,0,4,0,4.5,1,1,8,0,20,1,4.7,1,1,0,30,12,0,4.7,1,1,2,70,8.4,0,30,16,8,16,0,0,0,0,0,16,4,30,4,1,5,40,12,0,8,0,16,0,12,24,0,24,0,16,30,4,8,1,5,130,12,0,30,8,0,0,16,0,8,0,0,12,12,4,4,1,4,40,12,0,24,8,0,0,16,0,0,30,0,8,30,4,8,1,3,40,8.4,8,0,12,8,0,0,0,0,0,0,30,12,12,8,1,5,70,8.4,12,0,0,4,0,12,16,0,0,0,12,8,8,4,42,0,0,2,1,2,0,3,,98198,7,5,8,7,1,3,
iUZa70SfaAdYzc3gf7St,1,1,N4,3,1,1,8,0,0,0,,1,260,36,7,1,8,0,12,0,4.1,0,1,12,0,16,1,4.3,0,0,16,0,20,1,4.3,0,1,0,0,16,0,4.5,1,1,4,0,8,1,4.7,1,1,12,0,12,1,4.9,1,0,,338,12.8,0,30,16,0,8,0,0,16,0,16,16,30,12,12,0,,338,10.4,0,8,0,8,0,0,16,0,0,0,30,8,16,8,0,,104,12.8,0,16,0,0,16,0,8,30,0,16,16,4,30,4,0,,104,8,12,0,12,0,0,0,0,16,30,24,12,16,4,4,1,3,260,5.6,16,0,0,0,4,12,30,30,0,0,8,30,12,16,0,,104,8,16,0,8,0,0,0,0,16,0,0,12,30,16,12,26,0,0,2,1,3,1,3,,98198,6,3,7,6,1,3,
2QVjNEmESByLoutdeOaX,1,,N4,4,0,1,15,1,2,1,9,1,125,30,1,1,12,0,12,0,4.1,0,1,0,8,20,1,4.3,0,1,0,0,16,1,4.9,0,1,8,0,16,0,4.9,0,0,0,30,12,0,4.3,1,0,0,30,20,0,4.7,1,1,1,125,9,0,8,8,0,0,0,0,0,24,0,12,30,8,4,1,2,87.5,11.7,4,0,0,8,4,0,30,0,0,8,8,4,16,30,0,,125,3.6,0,0,0,12,0,0,24,0,0,0,12,16,4,16,1,3,200,3.6,12,0,12,4,8,4,0,0,0,0,8,4,12,30,1,2,162.5,9,0,8,0,16,4,12,0,0,0,0,16,4,12,4,1,3,200,3.6,16,0,8,0,0,4,0,16,8,0,12,16,8,30,32,0,0,2,1,5,0,3,,98188,4,2,7,6,1,3,No
QNlx4ysNDzPOxrCwHabh,1,1,N4,4,1,1,10.03,1,17,1,7,1,120,25,0,1,0,0,8,1,4.1,0,1,0,16,4,1,4.3,0,1,4,0,12,1,4.3,0,1,0,30,16,1,4.5,0,1,0,24,16,1,4.3,1,1,8,0,8,0,4.3,1,0,,120,11.2,4,0,0,8,8,0,0,0,0,16,12,8,30,8,1,3,120,7,0,24,12,16,0,0,0,0,30,0,30,30,16,8,1,2,156,4.9,0,8,12,16,0,16,0,0,30,0,8,8,16,30,1,3,192,9.1,16,0,16,0,0,0,0,24,0,0,8,16,16,30,1,3,48,2.8,0,24,0,0,16,4,0,16,0,0,4,30,30,8,0,,48,11.2,0,8,0,0,0,0,30,30,30,0,16,4,12,12,55,0,0,2,1,2,0,1,,98002,5,3,7,8,2,3,
voBQsP3q1O3FrMB6RGLS,,1,N4,1,0,1,7,1,18,1,10,1,150,40,3,0,0,30,4,1,4.5,0,1,0,30,16,0,4.5,0,1,0,0,8,1,4.9,0,1,0,0,16,0,4.1,1,1,16,0,20,1,4.5,1,0,4,0,20,1,4.5,1,1,3,195,4,12,0,8,0,0,0,0,16,0,24,4,16,16,30,1,3,60,4,8,0,0,4,8,0,30,0,0,8,30,16,30,16,1,3,60,4,4,0,4,0,12,0,0,8,0,16,30,12,8,30,0,,60,13,0,0,8,12,4,0,0,0,0,24,8,16,4,16,0,,240,13,0,8,0,0,4,12,24,30,0,0,30,4,30,4,0,,105,16,4,0,0,4,4,0,0,0,0,30,8,4,8,16,42,0,0,1,1,6,0,3,,98058,4,2,5,5,2,3,No
rxZkbA5KGGM7flAtGwma,,1,N4,4,1,1,7,1,14.5,1,6,1,125,24,0,1,0,30,4,1,4.5,0,1,0,30,16,0,4.5,0,1,0,0,8,1,4.9,0,1,0,0,16,0,4.1,1,1,16,0,20,1,4.5,1,1,4,0,20,1,4.5,1,1,3,162.5,2.4,12,0,8,0,0,0,0,16,0,24,4,16,16,30,1,3,50,2.4,8,0,0,4,8,0,30,0,0,8,30,16,30,16,1,4,50,2.4,4,0,4,0,12,0,0,8,0,16,30,12,8,30,1,1,50,7.8,0,0,8,12,4,0,0,0,0,24,8,16,4,16,1,5,200,7.8,0,8,0,0,4,12,24,30,0,0,30,4,30,4,0,,87.5,9.6,4,0,0,4,4,0,0,0,0,30,8,4,8,16,59,1,0,2,0,5,0,1,,98092,1,0,7,7,1,3,Purpose. Bus experience. Unsafe.
gR7rfOxkTY3FaeIyacQn,,1,N4,4,1,1,7,0,0,0,,1,185,20,5,1,12,0,16,1,4.1,0,1,4,0,20,1,4.1,1,0,8,0,16,0,4.1,1,1,0,8,4,0,4.3,1,0,12,0,20,0,4.3,1,1,16,0,16,1,4.9,1,0,,185,10.4,0,0,0,4,0,4,24,0,8,0,16,16,12,12,1,5,129.5,8,0,24,8,0,0,12,0,8,30,0,12,12,4,12,1,3,129.5,3.2,16,0,0,0,0,12,30,16,24,0,16,12,8,4,0,,296,3.2,0,24,4,0,16,16,0,8,0,0,12,30,8,4,0,3,129.5,12.8,0,30,0,12,4,0,16,0,0,30,8,16,8,12,0,,185,5.6,8,0,16,16,0,0,0,0,8,0,12,8,12,12,47,0,1,6,0,4,0,1,,98338,6,0,8,8,2,3,Pierce county why there aren’t many drivers there. How many drivers are on the road the afternoon.
DEjHbLDPywxqmPpgCvec,1,,N4,4,0,0,0,0,0,1,7,1,200,124,15,1,12,0,16,1,4.1,0,1,4,0,20,1,4.1,1,1,8,0,16,0,4.1,1,1,0,8,4,0,4.3,1,1,12,0,20,0,4.3,1,1,16,0,16,1,4.9,1,1,3,200,9.1,0,0,0,4,0,4,24,0,8,0,16,16,12,12,1,5,140,7,0,24,8,0,0,12,0,8,30,0,12,12,4,12,1,3,140,2.8,16,0,0,0,0,12,30,16,24,0,16,12,8,4,1,5,320,2.8,0,24,4,0,16,16,0,8,0,0,12,30,8,4,1,4,140,11.2,0,30,0,12,4,0,16,0,0,30,8,16,8,12,1,2,200,4.9,8,0,16,16,0,0,0,0,8,0,12,8,12,12,47,1,0,2,1,3,0,3,,98166,3,1,6,6,1,3,No
XkCGcJHuAMXzGmU46Anp,,1,N4,4,1,1,7.5,1,19.5,1,12,1,220,15,3,1,16,0,16,1,4.3,0,1,0,24,8,0,4.5,0,1,12,0,8,1,4.9,0,1,16,0,12,0,4.9,0,1,0,30,4,1,4.5,1,1,0,8,8,0,4.9,1,1,3,286,12,0,0,0,4,4,0,16,0,0,8,16,30,4,4,0,,88,15.6,0,30,0,0,12,4,24,8,0,0,4,16,16,12,1,2,88,4.8,0,16,8,12,0,0,0,0,16,30,30,12,30,30,0,,154,15.6,0,16,8,0,0,0,0,16,8,30,4,8,16,8,0,,286,19.2,0,0,0,4,8,0,30,0,0,0,4,8,12,8,1,5,88,4.8,12,0,0,0,8,16,30,0,0,0,12,16,4,4,47,0,0,2,1,1,0,3,,98001,3,0,7,7,2,3,
rUDVSK3PALmzcB5vtDMR,,1,N4,4,1,0,0,0,0,1,12,1,300,90,10,1,4,0,4,1,4.5,0,1,12,0,20,0,4.5,0,0,0,16,20,0,4.5,0,0,0,24,16,1,4.7,0,1,16,0,12,1,4.5,1,1,0,0,8,0,4.5,1,0,,210,19.2,0,0,4,0,0,0,0,8,16,30,4,12,4,30,0,,210,19.2,8,0,12,0,0,8,0,0,16,0,4,30,16,4,1,4,390,15.6,0,16,0,0,16,0,16,16,0,8,4,30,8,30,0,,480,19.2,16,0,8,0,0,16,0,8,0,0,4,16,12,4,1,2,300,15.6,0,30,8,8,0,4,0,0,30,0,4,16,4,16,1,5,300,12,0,16,8,0,4,8,0,30,0,0,12,30,8,8,40,0,0,2,1,4,0,3,,98444,1,0,7,7,2,3,No
uStdFsy792sppvt7PRCI,,1,N4,4,1,1,12,1,20,1,8,1,150,100,6,1,0,24,8,1,4.1,0,1,8,0,12,1,4.3,0,0,4,0,8,0,4.3,0,0,0,0,8,0,4.3,0,0,0,24,16,0,4.3,0,1,4,0,4,0,4.7,1,1,1,105,10.4,0,24,0,0,0,0,0,30,16,0,8,16,4,4,1,3,150,10.4,8,0,0,0,0,4,16,24,0,0,16,4,12,30,1,5,195,8,4,0,0,8,0,12,30,0,8,0,12,8,30,8,1,2,240,8,0,0,0,16,0,0,24,0,30,16,16,12,8,12,1,1,105,12.8,0,24,4,8,0,0,0,0,8,8,4,8,30,16,1,4,195,3.2,0,24,0,12,4,16,16,0,0,0,12,30,8,30,64,0,0,2,1,3,0,3,,98057,2,0,7,7,1,3,
ZH13Nkvn6eiC1PbYgWyK,,1,N4,4,0,0,0,0,0,1,10,1,200,60,1,0,0,0,12,0,4.1,0,1,4,0,16,1,4.3,0,0,0,24,20,1,4.1,1,1,16,0,4,0,4.1,1,1,0,30,4,1,4.7,1,1,0,30,8,0,4.7,1,1,3,80,4,16,0,4,0,8,0,0,0,0,0,12,12,30,8,1,2,320,13,0,0,0,16,0,0,30,0,8,24,16,12,12,12,1,3,260,4,16,0,8,0,0,12,0,24,24,0,12,12,4,30,0,,320,10,4,0,16,0,0,0,0,30,24,24,4,30,12,8,0,,140,16,16,0,0,0,8,8,16,30,0,0,16,16,8,30,0,,80,13,16,0,4,16,12,0,0,0,0,16,12,12,16,30,55,0,0,4,1,2,0,3,,98030,3,0,6,6,1,3,
HPCwfzFqw5Mwlw3ePxzs,,1,N4,4,0,1,8,1,19,1,11,1,300,101,2,1,0,16,16,0,4.1,0,1,0,8,8,0,4.3,0,1,4,0,16,0,4.5,0,1,8,0,20,1,4.7,0,1,4,0,12,0,4.3,1,1,12,0,20,1,4.9,1,1,2,120,17.6,8,0,8,12,12,4,0,0,0,0,16,4,12,30,1,5,120,4.4,0,30,4,0,12,12,0,8,0,0,16,30,30,12,1,4,210,11,0,0,4,0,16,0,0,8,0,24,16,4,8,16,1,1,120,7.7,12,0,16,12,12,0,0,0,0,24,4,8,30,8,1,3,480,4.4,8,0,8,0,0,0,0,24,24,30,30,12,30,8,1,1,300,4.4,0,24,12,8,0,4,0,0,8,0,4,30,12,8,52,0,0,4,1,2,0,3,,98032,4,0,3,3,1,3,
